Business_Name,User,Rating,Date,Review_Text
Domino's Pizza Madurai,Pandiarajan k,1.0,6 months ago,"Worst behaviour if we are going on dine in. They ask us to book via online and Gave us only one tomato sauce for each pizza. That is pathetic. I asked extra and she said for takeaway only one tomato sauce for each pizza. That is totally un acceptable.
They have the machine to book order but ask us to book via online only.
They have partnership with road side vendor who sell pens or some colour books thats is so annoying.
Because that guy stand on the door and Ask us to buy his product continuously and after some time he came inside and used the showroom rest room. Literally that was not at all acceptable.

Shop is fully controlled by bunch of arrogant idiots. They are very much busy in online orders and not at all give importance to dine in people. There is a lady who wears glass and white. She thought dine in people are like cheap guys because her attitude towards us resembles like that

Food was average because they are not ready to give extra tomato sause.
If you want to check the CCTV footage. I dine in at 22OCT25 around 5 pm

Management try to take action on these things ASAP to avoid further quality issues in your showroom"
Domino's Pizza Madurai,Pradeep Jeyachandran,1.0,10 months ago,"I am extremely disappointed with my recent pizza order. Upon opening the box, I found a worm inside the pizza, which is completely unacceptable and unhygienic. I immediately tried to contact the store, but no one responded—calls went unanswered and there was no other way to reach them. This experience has left me shocked and concerned about their food safety standards. I would strongly urge the store to take accountability and improve their quality control and customer service."
Domino's Pizza Madurai,siva priya,1.0,3 months ago,"Extremely poor service and irresponsible customer care.
I placed a pizza order for my entire family around 7:50 PM. After waiting more than 1.5 hours, staying hungry the whole time, the restaurant suddenly cancelled the order without any valid explanation.

There was no proper response, no apology, and zero accountability from the restaurant or customer care. To make things worse, they say the refund will take 4 days, even though the cancellation was completely their fault.
This kind of service is absolutely unacceptable and very disappointing. Wasting customers’ time, leaving families hungry, and then offering no regret or immediate resolution is pathetic. I will definitely think twice before ordering again and would not recommend this place to anyone."
Domino's Pizza Madurai,sukanya seluka,4.0,2 years ago,"I've always been a fan of domino's pizza. If I think of pizza, the only brand I get into my mind is Domino's. We ordered non veg mania combo pizzas, which includes BBQ pizza, chicken sausage pizza n mom veg loaded pizza, 7up, veg and non veg parcel. Food was awesome as always. Service was also good. Only thing is the restroom was not maintained at all! There was a foul smell which was very disappointing. Otherwise the place is good to hang out with friends n family. It is also suitable for babies."
Domino's Pizza Madurai,Ghuru Prasath,1.0,7 months ago,"Very worst food received late after 2hours from ordered Time  ,wrong one ,cold one unhygienic with hair particle in taco ,taco was not filled very very worst  ,choco lava is not hot very cold"
Domino's Pizza Madurai,Rino Angusamy,1.0,3 months ago,"Today vistied bybass branch  and Very disappointed with the store condition. The place was not clean at all. Tables were messy, the floor had trash and stains, and overall hygiene was poorly maintained. For a brand like Domino’s, this level of cleanliness is unacceptable. Please maintain basic hygiene standards for customers."
Domino's Pizza Madurai,Stanley Alwin,1.0,a year ago,"Simply waste, when you call the store they won’t pick or the number won’t be existing, they deliver pizza which is fallen down and fully spoiled they deliver pizza after 2hrs also asking payment for it. This is Ridiculous that dominos people behave like this."
Domino's Pizza Madurai,Yours Digitall,3.0,Edited 2 years ago,"I have been here long back at that time service was much better now it has gone down a bit since they are very busy cleaning of the place isn't happening that's not acceptable usually we place orders only this time tried dining in not so pleasant experience because of the atmosphere being not so clean and service could be better. Taste of food is good as usual. We tried indi Paneer pizza, chicken 5 feast pizza, taco veg, veg burger pizza, red Velvet lava cake, Butterscotch mousse, b natural orange drink. For indi Paneer pizza we went with thin crust it didn't satisfy our tummy so better to avoid thin crust I would suggest taste of pizza is good, chicken 5 feast pizza taste was good we tried cheese burst crust it had too too too much of cheese, taco veg, Butterscotch mousse, red Velvet Cake was good no complaints, veg burger pizza not so good it had only tomato in it nothing else."
Domino's Pizza Madurai,Swami Viji,1.0,3 months ago,"Poor delivery service .it took 2 hrs since order to delivery time.....The highlight part is you will not be able to reach someone for complaint since no shop contact no and a IVR based Domino's customer care were you will be wasting your time with press 1 ...press 4...press 2.    At the end you need to wait for 2 hrs for your food not a single person to hear your concern...This is not the first time its happening.......Would appreciate with a small response on the lead time so that will plan our order giving time accordingly.

To the Shop Owner - Sam walton once said  "" There is only one boss-the customer. And he can fire everybody in the company from the chairman on down, simply by spending his money somewhere else "" ."
Domino's Pizza Madurai,Abi Ammu,4.0,a year ago,Recently ordered from here through dominos app.. worth the price and was very filling for 3 people.. I personally liked the pizzas.. But the garlic bread was very dry and chicken parcel too was not that upto the mark.. could have been better in taste.. Go for it Guys for pizzas alone
Domino's Pizza Madurai,Sara,3.0,2 months ago,"Got 2 BBQ chicken pizza. They didn't give any oregano or chilli flakes. As it was take out, came home and realized they didn't give the seasonings."
Domino's Pizza Madurai,Jeff,1.0,7 months ago,"I didn't receive my Online order
Worst customer service ever , if its over crowd they will accept the order and make us wait They wont cancel it and wont respond . No way to contact the restaurant. They could have decline the order if its overcrowd ,but they will accept it and will make us wait for more hours. Till i haven't received my order.I placed my order on oct 21 night 9pm , today is oct 22 afternoon 12pm till no response no refund. I will definitely file a complaint"
